Group,Species or closers taxonomic level,Conventional (prev.),Conventional (rel. abund.),Organic (prev.),Organic (rel. abund.),C. annuum (prev.),C. annuum (rel. abund.),C. baccatum (prev.),C. baccatum (rel. abund.),C. chinense (prev.),C. chinense (rel. abund.),Hybrid A (prev.),Hybrid A (rel. abund.),Hybrid B (prev.),Hybrid B (rel. abund.),Bola (prev.),Bola (rel. abund.),Cali. Wond. Red (prev.),Cali. Wond. Red (rel. abund.),Piquillo (prev.),Piquillo (rel. abund.),Serrano (prev.),Serrano (rel. abund.),Blank (prev.),Blank (rel. abund.),"Simonin et al. (2020, prev.)","Simonin et al. (2020, rel. abund.)"
Bacteria,Acidibacter_sp,NA,NA,27.66%,0.11%,28.89%,0.17%,NA,NA,NA,NA,36.36%,0.20%,40.00%,0.19%,NA,NA,45.45%,0.20%,36.36%,0.22%,NA,NA,NA,NA,NA,NA
Bacteria,Acidibacter_sp564,36.73%,0.28%,31.91%,0.23%,28.89%,0.24%,25.00%,0.20%,41.67%,0.24%,27.27%,0.21%,40.00%,0.23%,36.36%,0.24%,45.45%,0.35%,NA,NA,25.00%,0.20%,83.33%,0.51%,NA,NA
Bacteria,Adhaeribacter_sp,48.98%,0.22%,36.17%,0.20%,44.44%,0.20%,33.33%,0.19%,41.67%,0.23%,54.55%,0.24%,50.00%,0.29%,36.36%,0.14%,54.55%,0.25%,54.55%,0.22%,33.33%,0.12%,NA,NA,NA,NA
Bacteria,Adhaeribacter_sp129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.08%,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Aeromicrobium_sp,36.73%,1.15%,40.43%,0.37%,42.22%,1.19%,25.00%,0.27%,33.33%,0.25%,54.55%,0.67%,40.00%,0.33%,45.45%,0.40%,54.55%,2.17%,36.36%,0.29%,33.33%,0.22%,NA,NA,NA,NA
Bacteria,Agromyces_ramosus,32.65%,0.17%,34.04%,0.20%,28.89%,0.15%,33.33%,0.19%,33.33%,0.18%,36.36%,0.18%,50.00%,0.34%,27.27%,0.16%,36.36%,0.17%,27.27%,0.09%,25.00%,0.14%,33.33%,0.13%,37.00%,0.08%
Bacteria,Alterococcus_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.09%,NA,NA,27.27%,0.09%,NA,NA,NA,NA,NA,NA
Bacteria,Ammoniphilus_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.97%,NA,NA,25.00%,10.44%,NA,NA,NA,NA
Bacteria,Arenimonas_daejeonensis,NA,NA,NA,NA,NA,NA,41.67%,2.03%,25.00%,0.11%,NA,NA,NA,NA,NA,NA,27.27%,0.52%,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Arenimonas_sp,44.90%,0.26%,46.81%,0.82%,42.22%,0.26%,50.00%,0.26%,41.67%,0.36%,54.55%,1.82%,40.00%,0.20%,27.27%,0.21%,54.55%,0.20%,54.55%,0.37%,33.33%,0.19%,66.67%,0.35%,37.00%,0.09%
Bacteria,Arenimonas_sp601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.45%,0.15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.00%,0.09%
Bacteria,Arthrobacter_crystallopoietes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.00%,0.22%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.00%,0.19%
Bacteria,Arthrobacter_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.45%,0.25%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.00%,0.19%
Bacteria,Bacillus_sp,61.22%,11.03%,70.21%,14.10%,66.67%,13.82%,50.00%,16.07%,58.33%,10.16%,72.73%,8.39%,70.00%,16.61%,63.64%,9.42%,72.73%,9.28%,63.64%,18.60%,66.67%,15.48%,83.33%,0.84%,"42%, 40%","0.23%, 0.08%"
Bacteria,Blastococcus_sp,28.57%,0.34%,27.66%,0.35%,26.67%,0.29%,25.00%,0.26%,41.67%,0.55%,27.27%,0.36%,30.00%,0.43%,27.27%,0.27%,45.45%,0.45%,NA,NA,25.00%,0.28%,NA,NA,57.00%,0.13%
Bacteria,Blastopirellula_sp468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.03%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Bryobacter_sp,30.61%,0.26%,NA,NA,NA,NA,NA,NA,33.33%,0.27%,36.36%,0.25%,NA,NA,NA,NA,36.36%,0.27%,27.27%,0.88%,NA,NA,66.67%,0.35%,NA,NA
Bacteria,Bryobacter_sp3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.00%,0.28%,27.27%,0.19%,NA,NA,27.27%,0.16%,25.00%,0.16%,50.00%,0.24%,NA,NA
