NA,Code_Rep,B58C1,B58C2,B58C3,B58E1,B58E2,B58E3,BC1,BC2,BC3,BE1,BE2,BE3,BKC1,BKC2,BKC3,BKE1,BKE2,BKE3,CRC1,CRC2,CRC3,CRE1,CRE2,CRE3,CRE4C1,CRE4C2,CRE4C3,CRE4E1,CRE4E2,CRE4E3,E4C1,E4C2,E4C3,E4E1,E4E2,E4E3,PIC1,PIC2,PIC3,PIE1,PIE2,PIE3,B58C3,E4C2,E4C3,PIC3,B58C2,SC3,CRE4C3,SC2,SKBC2,SKBC3,CRC2,SKBC1,BC1,BC3,BC2,CRE4C2,PIC2,E4C1,CRE4C1,CRC1,BE2,SKBE1,BE1,E4E2,SKBE2,CRE3,CRE4E3,SE2,CRE2,E4E3,PIE1,B58C1,B58E1,B58E2,B58E3,CRC3,CRE1,CRE4E1,CRE4E2,E4E1,PIC1,PIE2,PIE3,SC1,SE1,SE3,SKBE3,BE3,SC1,SC2,SC3,SE1,SE2,SE3,SKBC1,SKBC2,SKBC3,SKBE1,SKBE2,SKBE3
NA,Code_SaZo,B58CS,B58CS,B58CS,B58ES,B58ES,B58ES,BCS,BCS,BCS,BES,BES,BES,BKC,BKC,BKC,BKE,BKE,BKE,CRCS,CRCS,CRCS,CRES,CRES,CRES,CRE4CS,CRE4CS,CRE4CS,CRE4ES,CRE4ES,CRE4ES,E4CS,E4CS,E4CS,E4ES,E4ES,E4ES,PICS,PICS,PICS,PIES,PIES,PIES,B58CR,E4CR,E4CR,PICR,B58CR,SCR,CRE4CR,SCR,SKBCR,SKBCR,CRCR,SKBCR,BCR,BCR,BCR,CRE4CR,PICR,E4CR,CRE4CR,CRCR,BER,SKBER,BER,E4ER,SKBER,CRER,CRE4ER,SER,CRER,E4ER,PIER,B58CR,B58ER,B58ER,B58ER,CRCR,CRER,CRE4ER,CRE4ER,E4ER,PICR,PIER,PIER,SCR,SER,SER,SKBER,BER,SCS,SCS,SCS,SES,SES,SES,SKBCS,SKBCS,SKBCS,SKBES,SKBES,SKBES
NA,Treatment,Con,Con,Con,Org,Org,Org,Con,Con,Con,Org,Org,Org,Con,Con,Con,Org,Org,Org,Con,Con,Con,Org,Org,Org,Con,Con,Con,Org,Org,Org,Con,Con,Con,Org,Org,Org,Con,Con,Con,Org,Org,Org,Con,Con,Con,Con,Con,Con,Con,Con,Con,Con,Con,Con,Con,Con,Con,Con,Con,Con,Con,Con,Org,Org,Org,Org,Org,Org,Org,Org,Org,Org,Org,Con,Org,Org,Org,Con,Org,Org,Org,Org,Con,Org,Org,Con,Org,Org,Org,Org,Con,Con,Con,Org,Org,Org,Con,Con,Con,Org,Org,Org
NA,Accession,Bol58,Bol58,Bol58,Bol58,Bol58,Bol58,Bola,Bola,Bola,Bola,Bola,Bola,Blank,Blank,Blank,Blank,Blank,Blank,CaliRed,CaliRed,CaliRed,CaliRed,CaliRed,CaliRed,CaliXEcu,CaliXEcu,CaliXEcu,CaliXEcu,CaliXEcu,CaliXEcu,Ecu994,Ecu994,Ecu994,Ecu994,Ecu994,Ecu994,Piquillo,Piquillo,Piquillo,Piquillo,Piquillo,Piquillo,Bol58,Ecu994,Ecu994,Piquillo,Bol58,Serrano,CaliXEcu,Serrano,SerrXBola,SerrXBola,CaliRed,SerrXBola,Bola,Bola,Bola,CaliXEcu,Piquillo,Ecu994,CaliXEcu,CaliRed,Bola,SerrXBola,Bola,Ecu994,SerrXBola,CaliRed,CaliXEcu,Serrano,CaliRed,Ecu994,Piquillo,Bol58,Bol58,Bol58,Bol58,CaliRed,CaliRed,CaliXEcu,CaliXEcu,Ecu994,Piquillo,Piquillo,Piquillo,Serrano,Serrano,Serrano,SerrXBola,Bola,Serrano,Serrano,Serrano,Serrano,Serrano,Serrano,SerrXBola,SerrXBola,SerrXBola,SerrXBola,SerrXBola,SerrXBola
NA,SPP,BACCATUM,BACCATUM,BACCATUM,BACCATUM,BACCATUM,BACCATUM,ANNUUM,ANNUUM,ANNUUM,ANNUUM,ANNUUM,ANNUUM,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,ANNUUM,ANNUUM,ANNUUM,ANNUUM,ANNUUM,ANNUUM,HY_AxCh,HY_AxCh,HY_AxCh,HY_AxCh,HY_AxCh,HY_AxCh,CHINENSE,CHINENSE,CHINENSE,CHINENSE,CHINENSE,CHINENSE,ANNUUM,ANNUUM,ANNUUM,ANNUUM,ANNUUM,ANNUUM,BACCATUM,CHINENSE,CHINENSE,ANNUUM,BACCATUM,ANNUUM,HY_AxCh,ANNUUM,HY_AxA,HY_AxA,ANNUUM,HY_AxA,ANNUUM,ANNUUM,ANNUUM,HY_AxCh,ANNUUM,CHINENSE,HY_AxCh,ANNUUM,ANNUUM,HY_AxA,ANNUUM,CHINENSE,HY_AxA,ANNUUM,HY_AxCh,ANNUUM,ANNUUM,CHINENSE,ANNUUM,BACCATUM,BACCATUM,BACCATUM,BACCATUM,ANNUUM,ANNUUM,HY_AxCh,HY_AxCh,CHINENSE,ANNUUM,ANNUUM,ANNUUM,ANNUUM,ANNUUM,ANNUUM,HY_AxA,ANNUUM,ANNUUM,ANNUUM,ANNUUM,ANNUUM,ANNUUM,ANNUUM,HY_AxA,HY_AxA,HY_AxA,HY_AxA,HY_AxA,HY_AxA
NA,SampZone,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,ROOT,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL,SOIL
NA,SampZone2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
NA,Treatment2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2
NA,SPP2,2,2,2,2,2,2,1,1,1,1,1,1,6,6,6,6,6,6,1,1,1,1,1,1,5,5,5,5,5,5,3,3,3,3,3,3,1,1,1,1,1,1,2,3,3,1,2,1,5,1,4,4,1,4,1,1,1,5,1,3,5,1,1,4,1,3,4,1,5,1,1,3,1,2,2,2,2,1,1,5,5,3,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,4,4,4,4,4
NA,Variety,1,1,1,1,1,1,2,2,2,2,2,2,9,9,9,9,9,9,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,1,5,5,6,1,7,4,7,8,8,3,8,2,2,2,4,6,5,4,3,2,8,2,5,8,3,4,7,3,5,6,1,1,1,1,3,3,4,4,5,6,6,6,7,7,7,8,2,7,7,7,7,7,7,8,8,8,8,8,8
NA,TxSp,2,2,2,7,7,7,1,1,1,6,6,6,11,11,11,12,12,12,1,1,1,6,6,6,5,5,5,10,10,10,3,3,3,8,8,8,1,1,1,6,6,6,2,3,3,1,2,1,5,1,4,4,1,4,1,1,1,5,1,3,5,1,6,9,6,8,9,6,10,6,6,8,6,2,7,7,7,1,6,10,10,8,1,6,6,1,6,6,9,6,1,1,1,6,6,6,4,4,4,9,9,9
NA,TxVar,1,1,1,9,9,9,2,2,2,10,10,10,17,17,17,18,18,18,3,3,3,11,11,11,4,4,4,12,12,12,5,5,5,13,13,13,6,6,6,14,14,14,1,5,5,6,1,7,4,7,8,8,3,8,2,2,2,4,6,5,4,3,10,16,10,13,16,11,12,15,11,13,14,1,9,9,9,3,11,12,12,13,6,14,14,7,15,15,16,10,7,7,7,15,15,15,8,8,8,16,16,16
NA,TRL,4667.38,3745.41,4631.19,2821.88,2815.61,904.88,2853.45,1960.72,1859.84,1512.36,1274.53,2079.37,,,,,,,1964.12,1247.47,1416.06,1971.23,1348.86,767.5,3829.26,1798.9,3178.1,2413.86,2228.88,1626.19,3093.46,3060.53,3164.7,3237.71,2137.47,3586.08,3679.5,4296.52,1818.64,1611.41,3965.07,3140.13,4631.19,3060.53,3164.7,1818.64,3745.41,3385.34,3178.1,4872.06,2089.97,1129.5,1247.47,3498.28,2853.45,1859.84,1960.72,1798.9,4296.52,3093.46,3829.26,1964.12,1274.53,2419.83,1512.36,2137.47,2639.63,767.5,1626.19,3647.75,1348.86,3586.08,1611.41,4667.38,2821.88,2815.61,904.88,1416.06,1971.23,2413.86,2228.88,3237.71,3679.5,3965.07,3140.13,2558.37,3201.53,3798.97,2133.06,2079.37,2558.37,4872.06,3385.34,3201.53,3647.75,3798.97,3498.28,2089.97,1129.5,2419.83,2639.63,2133.06
NA,TRA,459.92,340.1,326.5,281.96,267.8,80.24,251.42,170.53,155.97,132.24,118.24,198.37,,,,,,,177.11,125.8,124.53,178.42,131.69,84.89,380.49,206.05,317.02,246.4,214.02,202.37,299,325.12,285.16,309.96,234.67,365.59,378.71,381.83,183.95,149.07,371.38,295.33,326.5,325.12,285.16,183.95,340.1,357.51,317.02,474.17,225.52,129.96,125.8,388.13,251.42,155.97,170.53,206.05,381.83,299,380.49,177.11,118.24,252.55,132.24,234.67,272.79,84.89,202.37,397.22,131.69,365.59,149.07,459.92,281.96,267.8,80.24,124.53,178.42,246.4,214.02,309.96,378.71,371.38,295.33,278.49,316.89,459.73,221.21,198.37,278.49,474.17,357.51,316.89,397.22,459.73,388.13,225.52,129.96,252.55,272.79,221.21
NA,ARD,0.98,0.89,0.72,0.98,0.95,0.89,0.88,0.87,0.85,0.87,0.92,0.97,,,,,,,0.9,1.02,0.88,0.9,0.96,1.11,1,1.13,1,1.02,0.93,1.25,0.97,1.06,0.9,0.94,1.09,1,1.03,0.88,1.01,0.93,0.93,0.93,0.72,1.06,0.9,1.01,0.89,1.06,1,0.97,1.08,1.14,1.02,1.11,0.88,0.85,0.87,1.13,0.88,0.97,1,0.9,0.92,1.01,0.87,1.09,1.04,1.11,1.25,1.08,0.96,1,0.93,0.98,0.98,0.95,0.89,0.88,0.9,1.02,0.93,0.94,1.03,0.93,0.93,1.08,0.99,1.21,1.03,0.97,1.08,0.97,1.06,0.99,1.08,1.21,1.11,1.08,1.14,1.01,1.04,1.03
NA,TRV,35.83,24.49,18.44,22.37,20.01,5.59,17.41,11.65,10.34,9.09,8.64,14.99,,,,,,,12.54,10.02,8.63,12.75,10.17,7.37,30.85,18.6,24.87,19.75,16.37,19.84,22.7,27.25,20.25,23.42,20.33,29.42,30.69,26.94,14.72,10.85,27.69,21.89,18.44,27.25,20.25,14.72,24.49,30.03,24.87,36.6,19.12,11.86,10.02,34.07,17.41,10.34,11.65,18.6,26.94,22.7,30.85,12.54,8.64,21,9.09,20.33,22.28,7.37,19.84,34.75,10.17,29.42,10.85,35.83,22.37,20.01,5.59,8.63,12.75,19.75,16.37,23.42,30.69,27.69,21.89,24.35,24.82,44.13,18.11,14.99,24.35,36.6,30.03,24.82,34.75,44.13,34.07,19.12,11.86,21,22.28,18.11
NA,NRT,12019,7786,28087,5182,6004,1634,5568,4903,3669,3246,2947,4927,,,,,,,5623,3479,2613,4499,3575,1936,5633,3668,3956,4858,4064,3708,5254,6042,6571,5245,4800,9002,6962,7583,4245,2680,6998,5173,28087,6042,6571,4245,7786,8024,3956,10104,3052,3058,3479,8863,5568,3669,4903,3668,7583,5254,5633,5623,2947,3938,3246,4800,5193,1936,3708,7234,3575,9002,2680,12019,5182,6004,1634,2613,4499,4858,4064,5245,6962,6998,5173,5590,5997,7441,4031,4927,5590,10104,8024,5997,7234,7441,8863,3052,3058,3938,5193,4031
NA,TRL05,836.14,708.14,1689,370.93,626.75,112.39,608.7,509.17,605.99,328.93,251.19,464.91,,,,,,,250.39,126.85,218.06,502,228.23,128.41,1086.49,397.88,1253.74,623.46,862.05,389.29,1452.01,930.32,1173.12,956.8,602.19,1030.55,522.99,841.76,204.65,252.93,925.81,659.54,1689,930.32,1173.12,204.65,708.14,682.64,1253.74,964.54,496.13,113.03,126.85,481.1,608.7,605.99,509.17,397.88,841.76,1452.01,1086.49,250.39,251.19,408.72,328.93,602.19,416.98,128.41,389.29,548.49,228.23,1030.55,252.93,836.14,370.93,626.75,112.39,218.06,502,623.46,862.05,956.8,522.99,925.81,659.54,474.1,374.46,485.03,330.11,464.91,474.1,964.54,682.64,374.46,548.49,485.03,481.1,496.13,113.03,408.72,416.98,330.11
NA,TRL05_2,2940.86,2418.97,2164.27,2000.67,1687.88,663.06,1841.42,1137.86,967.54,906.1,751.37,1108.94,,,,,,,1367.45,864.95,981.46,1144.15,835.37,466.83,2018.55,965.38,1320.91,1268.72,994.04,775.26,1132.36,1554.51,1483.47,1659.21,983.68,1872.05,2454.16,2759.41,1199.91,1068.35,2332.7,1997.55,2164.27,1554.51,1483.47,1199.91,2418.97,1988.93,1320.91,3109.17,1126.67,709.24,864.95,2335.96,1841.42,967.54,1137.86,965.38,2759.41,1132.36,2018.55,1367.45,751.37,1539.79,906.1,983.68,1713.15,466.83,775.26,2263.75,835.37,1872.05,1068.35,2940.86,2000.67,1687.88,663.06,981.46,1144.15,1268.72,994.04,1659.21,2454.16,2332.7,1997.55,1459.6,2226.79,2465.06,1452.43,1108.94,1459.6,3109.17,1988.93,2226.79,2263.75,2465.06,2335.96,1126.67,709.24,1539.79,1713.15,1452.43
NA,TRL2,376.11,228.29,129.27,192.59,224.63,38.26,131.3,128.6,104.26,95.77,97.29,230.69,,,,,,,102.59,87.89,66.26,143.52,109.07,81.42,357.97,252.34,329.44,249.5,190.36,276.26,324.33,300.21,227.97,280.46,278.38,321.05,344.96,287.01,175.98,108.13,341.68,209.07,129.27,300.21,227.97,175.98,228.29,346.84,329.44,344.16,285.42,143.18,87.89,328.12,131.3,104.26,128.6,252.34,287.01,324.33,357.97,102.59,97.29,231.18,95.77,278.38,233.9,81.42,276.26,408.58,109.07,321.05,108.13,376.11,192.59,224.63,38.26,66.26,143.52,249.5,190.36,280.46,344.96,341.68,209.07,351.45,241.08,501.44,169.43,230.69,351.45,344.16,346.84,241.08,408.58,501.44,328.12,285.42,143.18,231.18,233.9,169.43
NA,NRF,7152,5116,8404,3287,4332,1428,3847,2980,2687,1962,1604,2578,,,,,,,1993,1187,1782,2717,1804,926,7070,3488,6864,3994,4394,2543,8762,6625,7485,6683,3986,8971,5394,5036,1551,1566,5149,5000,8404,6625,7485,1551,5116,4380,6864,6706,2502,1098,1187,4478,3847,2687,2980,3488,5036,8762,7070,1993,1604,2963,1962,3986,3906,926,2543,4519,1804,8971,1566,7152,3287,4332,1428,1782,2717,3994,4394,6683,5394,5149,5000,2993,3451,5912,3300,2578,2993,6706,4380,3451,4519,5912,4478,2502,1098,2963,3906,3300
NA,SFW,60.99,26.08,42.48,42.93,39.57,19.69,29.2,31.47,16.55,33.98,24.73,34.87,,,,,,,16.15,23.45,23,36.42,21.22,15.05,95.66,56.45,47.58,77.57,46.77,63.99,49.02,61.51,29.94,39.13,37.15,34.88,64.07,38.47,43.8,33.86,65.35,50.75,42.48,61.51,29.94,43.8,26.08,55.5,47.58,56.47,82.63,23.99,23.45,81.5,29.2,16.55,31.47,56.45,38.47,49.02,95.66,16.15,24.73,49.09,33.98,37.15,54.25,15.05,63.99,92.31,21.22,34.88,33.86,60.99,42.93,39.57,19.69,23,36.42,77.57,46.77,39.13,64.07,65.35,50.75,60.52,48.73,61.7,54.75,34.87,60.52,56.47,55.5,48.73,92.31,61.7,81.5,82.63,23.99,49.09,54.25,54.75
NA,SDW,21.2,9.55,13.26,13.77,12.96,6.01,9.43,10.65,4.45,11.44,7.26,11.52,,,,,,,4.3,6.88,6.66,10.45,6.27,3.54,36.95,22.13,17.34,29.73,17.11,23.68,20.17,24.92,13.07,17.55,16.56,15.74,21.44,13.36,13.97,11.05,23.79,17.54,13.26,24.92,13.07,13.97,9.55,21.54,17.34,22.51,31.35,7.53,6.88,27.25,9.43,4.45,10.65,22.13,13.36,20.17,36.95,4.3,7.26,19.82,11.44,16.56,18.53,3.54,23.68,32.77,6.27,15.74,11.05,21.2,13.77,12.96,6.01,6.66,10.45,29.73,17.11,17.55,21.44,23.79,17.54,23.92,18.13,21.72,19.58,11.52,23.92,22.51,21.54,18.13,32.77,21.72,27.25,31.35,7.53,19.82,18.53,19.58
NA,SWC,65.24,63.38,68.79,67.92,67.25,69.48,67.71,66.16,73.11,66.33,70.64,66.96,,,,,,,73.37,70.66,71.04,71.31,70.45,76.48,61.37,60.8,63.56,61.67,63.42,62.99,58.85,59.49,56.35,55.15,55.42,54.87,66.54,65.27,68.11,67.37,63.6,65.44,68.79,59.49,56.35,68.11,63.38,61.19,63.56,60.14,62.06,68.61,70.66,66.56,67.71,73.11,66.16,60.8,65.27,58.85,61.37,73.37,70.64,59.63,66.33,55.42,65.84,76.48,62.99,64.5,70.45,54.87,67.37,65.24,67.92,67.25,69.48,71.04,71.31,61.67,63.42,55.15,66.54,63.6,65.44,60.48,62.79,64.8,64.24,66.96,60.48,60.14,61.19,62.79,64.5,64.8,66.56,62.06,68.61,59.63,65.84,64.24
NA,RFW,26.6,14.98,12.03,14.07,15.7,5.19,11.88,9.01,8.83,7.79,8.25,13.6,,,,,,,8.63,9.08,8.23,13.78,6.44,8.44,42.1,19.19,39.78,19.71,24.12,31.74,29.01,38.89,19.65,23.7,25.09,29.36,24.39,17.6,13.34,10.56,29.8,21.06,12.03,38.89,19.65,13.34,14.98,37.38,39.78,37.97,25.8,16.95,9.08,40.9,11.88,8.83,9.01,19.19,17.6,29.01,42.1,8.63,8.25,25,7.79,25.09,20.6,8.44,31.74,41.55,6.44,29.36,10.56,26.6,14.07,15.7,5.19,8.23,13.78,19.71,24.12,23.7,24.39,29.8,21.06,26.75,25.37,48.17,22.81,13.6,26.75,37.97,37.38,25.37,41.55,48.17,40.9,25.8,16.95,25,20.6,22.81
