Variable,?2,G.L.,Valor-P,Comparación de pares
LT,20447,7,5,"California Wonder Red vs Serrano, 0,009"
AS,23930,7,1,"Bola vs Serrano, 0,016"
,,,,"California Wonder Red vs Serrano, 0,002"
DP,24002,7,1,"Bola vs Serrano, 0,027"
,,,,"Bola vs Híbrido A, 0,007"
VT,26956,7,"< 0,001","Bola vs Serrano, 0,003"
,,,,"California Wonder Red vs Serrano, 0,001"
NA,18665,7,9,"California Wonder Red vs Serrano, 0,034"
"< 0,5",20622,7,4,"California Wonder Red vs ECU-994, 0,002"
"0,5-2,0",20311,7,5,"California Wonder Red vs Serrano, 0,020"
"> 2,0",28061,7,"< 0,001","Bola vs Serrano, 0,005"
,,,,"California Wonder Red vs Serrano, < 0,001"
,,,,"California Wonder Red vs ECU-994, 0,048"
NH,23333,7,1,"Bola vs ECU-994, 0,034"
,,,,"California Wonder Red vs ECU-994, 0,001"
TF,28005,7,"< 0,001","California Wonder Red vs Híbrido A, 0,039"
,,,,"California Wonder Red vs Híbrido B, 0,005"
,,,,"California Wonder Red vs Serrano, 0,005"
,,,,"Bola vs Híbrido B, 0,042"
,,,,"Bola vs Serrano, 0,039"
,,,,
,,,,
TD,31095,7,"< 0,001","California Wonder Red vs Híbrido A, 0,029"
,,,,"California Wonder Red vs Híbrido B, 0,003"
,,,,"California Wonder Red vs Serrano, 0,001"
,,,,"Bola vs Híbrido B, 0,034"
,,,,"Bola vs Serrano, 0,019"
TWC,37563,7,"< 0,001","California Wonder Red vs Híbrido B, 0,025"
,,,,"California Wonder Red vs Serrano, 0,001"
,,,,"California Wonder Red vs ECU-994, 0,036"
,,,,"Bola vs ECU-994, < 0,001"
,,,,"BOL-58 vs ECU-994, 0,015"
RF,33014,7,"< 0,001","California Wonder Red vs Híbrido B, 0,006"
,,,,"California Wonder Red vs Serrano, 0,006"
,,,,"California Wonder Red vs ECU-994, < 0,001"
,,,,"Bola vs Híbrido B, 0,042"
,,,,"Bola vs Serrano, 0,002"
RD,37561,7,"< 0,001","California Wonder Red vs Híbrido B, 0,006"
,,,,"California Wonder Red vs Serrano, < 0,001"
,,,,"California Wonder Red vs ECU-994, 0,003"
,,,,"Bola vs Ecu-994, 0,023"
,,,,"Bola vs Híbrido B, 0,045"
,,,,"Bola vs Serrano, 0,002"
RWC,18393,7,10,-
HF,17100,7,17,"Serrano vs Híbrido B, 0,035"
HD,26211,7,"< 0,001","California Wonder Red vs Híbrido B, 0,017"
,,,,"California Wonder Red vs ECU-994, 0,004"
HWC,29384,7,"< 0,001","California Wonder Red vs Serrano, 0,001"
,,,,"California Wonder Red vs ECU-994, 0,034"
,,,,"Piquillo vs Serrano, 0,010"
Y,29071,7,"< 0,001","California Wonder Red vs ECU-994, 0,022"
,,,,"California Wonder Red vs Híbrido B, 0,007"
,,,,"BOL-58 vs ECU-994, 0,017"
,,,,"BOL-58 vs Híbrido B, 0,006"
FF,16662,7,20,"Bola vs BOL-58, 0,007"
FWC,26706,7,"< 0,001","California Wonder Red vs Serrano, 0,006"
,,,,"Piquillo vs Serrano, 0,007"
DR,27578,7,"< 0,001","BOL-58 vs ECU-994, 0,020"
,,,,"BOL-58 vs Híbrido B, 0,004"
,,,,"Piquillo vs ECU-994, 0,029"
,,,,"Piquillo vs Híbrido B, 0,006"
DH,29677,7,"< 0,001","California Wonder Red vs ECU-994, 0,003"
,,,,"California Wonder Red vs Híbrido B, 0,031"
,,,,"Piquillo vs ECU-994, 0,010"
,,,,"ECU-994 vs Híbrido A, 0,017"
,,,,"Serrano vs ECU-994, 0,016 "
B,24041,7,1,"BOL-58 vs Serrano, 0,008"
,,,,"Serrano vs ECU-994, 0,008 "
Ca,37994,7,"< 0,001","Bola vs BOL-58, 0,005"
,,,,"Bola vs ECU-994, 0,001"
,,,,"Bola vs Piquillo, 0,001"
,,,,"BOL-58 vs Híbrido A, 0,021"
,,,,"ECU-994 vs Híbrido A, 0,005"
,,,,"Híbrido A vs Piquillo, 0,003"
Co,34133,7,"< 0,001","Bola vs California Wonder Red, 0,016"
,,,,"Bola vs BOL-58, 0,001"
,,,,"Bola vs Híbrido A, 0,002"
,,,,"BOL-58 vs Piquillo, 0,006"
,,,,"Híbrido A vs Piquillo, 0,008"
Cu,23652,7,1,"BOL-58 vs Piquillo, 0,038"
,,,,"ECU-994 vs Piquillo, 0,008"
,,,,"ECU-994 vs Serrano, 0,014"
K,22651,7,2,-
Mg,19610,7,6,"ECU-994 vs Piquillo, 0,025"
Mn,16463,7,21,"Piquillo vs Serrano, 0,006"
Zn,36684,7,"< 0,001","Bola vs BOL-58, 0,009"
,,,,"Bola vs ECU-994, 0,002"
,,,,"BOL-58 vs Piquillo, 0,001"
,,,,"ECU-994 vs Piquillo, < 0,001"
