Factor,Variable,χ2,df,P-value,Pairwise comparison
TREATMENT,FFW,8.573,1,0.003,
,FDW,12.001,1,0.001,
SPECIES,ARD,12.98,4,0.011,"C. baccatum vs Hybrid A, 0.030"
,TRL05,14.628,4,0.006,"C. annuum vs C. chinense, 0.013"
,,,,,"C. chinense vs Hybrid A, 0.018"
,NRF,14.104,4,0.007,"C. annuum vs C. chinense, 0.008"
,,,,,"C. chinense vs Hybrid A, 0.047"
,RSDW,10.515,4,0.033,-
,RSWC,22.94,4,< 0.001,"C. annuum vs C. chinense, < 0.001"
,,,,,"C. chinense vs C. baccatum, 0.005"
,RFW,10.427,4,0.034,-
,RDW,13.301,4,0.01,-
,RWC,10.167,4,0.038,"C. chinense vs Hybrid A, 0.034"
,LDW,15.442,4,0.004,"C. annuum vs C. chinense, 0.049"
,Y,22.391,4,< 0.001,"C. annuum vs C. chinense, 0.038"
,,,,,"C. annuum vs Hybrid B, 0.011"
,,,,,"C. baccatum vs Hybrid B, 0.002"
,,,,,"C. baccatum vs C. chinense, 0.006"
,FFW,10.442,4,0.034,"C. annuum vs C. baccatum, 0.015"
,RD,22.052,4,< 0.001,"C. annuum vs Hybrid B, 0.014"
,,,,,"C. baccatum vs C. chinense, 0.007"
,,,,,"C. baccatum vs Hybrid B, 0.001"
,BR,28.712,4,< 0.001,"C. annuum vs Hybrid B, 0.004"
,,,,,"C. annuum vs C. chinense, < 0.001"
,,,,,"C. chinense vs Hybrid A, 0.006"
,B,14.274,4,0.006,"C. baccatum vs Hybrid A, 0.032"
,,,,,"C. chinense vs Hybrid A, 0.032"
,Ca,19.624,4,0.001,"C. baccatum vs Hybrid A, 0.008"
,,,,,"C. chinense vs Hybrid A, 0.002"
,Co,18.298,4,1,"C. annuum vs C. baccatum, 0.013"
,,,,,"C. annuum vs Hybrid A, 0.017"
,Cu,14.942,4,0.005,"C. annuum vs C. chinense, 0.013"
,K,13.192,4,0.01,"C. baccatum vs C. chinense, 0.037"
,Mg,11.134,4,0.025,-
,Zn,32.69,4,< 0.001,"C. annuum vs C. baccatum, < 0.001"
,,,,,"C. annuum vs C. chinense, < 0.001"
